 e g b, c d, a  f
 d g b, c e, a  f
 d e b, c g, a  f
 d e g, c b, a  f
 g b, c d e, a  f
 e b, c d g, a  f
 d b, c e g, a  f
 e g, c b d, a  f
 d g, c b e, a  f
 d e, c b g, a  f
 e g b, f d, a  c
 d g b, f e, a  c
 d e b, f g, a  c
 d e g, f b, a  c
 g b, f d e, a  c
 e b, f d g, a  c
 d b, f e g, a  c
 e g, f b d, a  c
 d g, f b e, a  c
 d e, f b g, a  c
 e g b, f c, a  d
 c g b, f e, a  d
 e c b, f g, a  d
 e c g, f b, a  d
 g b, f c e, a  d
 e b, f c g, a  d
 c b, f e g, a  d
 e g, f b c, a  d
 c g, f b e, a  d
 e c, f b g, a  d
 d g b, f c, a  e
 c g b, f d, a  e
 d c b, f g, a  e
 d c g, f b, a  e
 g b, f c d, a  e
 d b, f c g, a  e
 c b, f d g, a  e
 d g, f b c, a  e
 c g, f b d, a  e
 d c, f b g, a  e
 d e b, f c, a  g
 e c b, f d, a  g
 d c b, f e, a  g
 d e c, f b, a  g
 e b, f c d, a  g
 d b, f c e, a  g
 c b, f d e, a  g
 d e, f b c, a  g
 e c, f b d, a  g
 d c, f b e, a  g
 d e g, f c, a  b
 e c g, f d, a  b
 d c g, f e, a  b
 d e c, f g, a  b
 e g, f c d, a  b
 d g, f c e, a  b
 d e, f c g, a  b
 c g, f d e, a  b
 e c, f d g, a  b
 d c, f e g, a  b
 c b, d e, a  f g
 e b, d c, a  f g
 e c, d b, a  f g
 g b, d e, a  c f
 e b, d g, a  c f
 e g, d b, a  c f
 g b, e f, a  c d
 f b, e g, a  c d
 f g, e b, a  c d
 g b, d f, a  c e
 f b, d g, a  c e
 f g, d b, a  c e
 e b, d f, a  c g
 f b, d e, a  c g
 e f, d b, a  c g
 g b, e c, a  d f
 c b, e g, a  d f
 c g, e b, a  d f
 g b, f c, a  d e
 c b, f g, a  d e
 c g, f b, a  d e
 c b, e f, a  d g
 f b, e c, a  d g
 f c, e b, a  d g
 g b, d c, a  e f
 c b, d g, a  e f
 c g, d b, a  e f
 c b, d f, a  e g
 f b, d c, a  e g
 f c, d b, a  e g
 c g, d e, a  b f
 e g, d c, a  b f
 e c, d g, a  b f
 e g, d f, a  b c
 f g, d e, a  b c
 e f, d g, a  b c
 c g, e f, a  b d
 f g, e c, a  b d
 f c, e g, a  b d
 c g, d f, a  b e
 f g, d c, a  b e
 f c, d g, a  b e
 f c, d e, a  b g
 e c, d f, a  b g
 e f, d c, a  b g
